TH  ,TP   ,TN   ,FP   ,FN   ,Pre. ,Rec. 
0.10874906186625444,3499,19518,482,501,0.8789248930221238,0.8747499997813125
0.35328298736360164,3255,19779,221,745,0.9364211734935497,0.8137499997965625
0.5307237540651162,3040,19896,104,960,0.9669211192853304,0.75999999981
0.6594798177629646,2860,19946,54,1140,0.9814687711113698,0.7149999998212501
0.7529088772014396,2690,19963,37,1310,0.9864319761692586,0.672499999831875
0.8207036582537898,2551,19974,26,1449,0.9899107485487347,0.6377499998405625
0.8698974783089168,2400,19983,17,1600,0.9929664869702249,0.59999999985
0.9055939123714077,2269,19988,12,1731,0.9947391490597374,0.5672499998581875
0.9314962595229367,2118,19990,10,1882,0.9953007514119828,0.529499999867625
0.9502917388356261,1978,19990,10,2022,0.994969818412993,0.494499999876375
0.963930272846737,1836,19993,7,2164,0.9962018442776983,0.45899999988525003
0.9738267807717386,1687,19995,5,2313,0.9970449166684131,0.4217499998945625
0.9810079682094667,1545,19996,4,2455,0.9974176881875935,0.3862499999034375
0.9862188419243761,1402,19997,3,2598,0.9978647679730499,0.350499999912375
0.99,1267,19999,1,2733,0.9992113556788553,0.3167499999208125
